0,5
4,4.95
8,5.05
12,5.15
16,4.9
20,4.9
24,5.3
28,5.4
32,5.45
36,5.8
40,5.5
44,5.75
48,5.85
52,5.95
56,5.6
60,5
64,5.1
68,5
72,4.85
76,5
80,4.85
82,5
86,4.9
88,4.9
92,4.8
96,4.9
100,4.9
104,6.15
108,6.05
112,6.2
116,6
120,5.95
124,6.1
128,6.1
132,6.25
136,6.5
140,6.1
144,6.3
148,6.4
152,6.2
156,5.5
160,5.5
164,4.9
168,5.1
172,4.8
176,4.9
180,4.85
184,5.6
188,5
192,5.2
196,5.6
200,6.6
202,6.9
204,7.1
208,7.3
212,6.95
216,7.4
220,7.7
224,7.7
228,7.9
232,7.55
236,7.5
240,7.7
244,7.4
248,7.8
252,8.25
256,7.8
260,8.4
264,7.95
268,7.1
272,7.6
276,7.7
280,7.6
284,8
288,8.5
292,8.5
296,8.6
300,8
304,8.1
308,8.2
312,8.6
316,8.75
320,8.8
324,9.5
328,10.1
332,9.5
336,9.8
340,10
344,9.7
348,10.05
350,9.8
354,9.8
358,10.15
362,10.2
366,9.7
368,10
372,9.5
376,9.9
378,10.2
382,10
386,10
390,9.8
394,9.3
398,10.1
402,10.15
406,10.05
410,10.7
