11,125.1
12,124.6
13,122.4
14,123.6
15,125.1
16,127.1
17,128.7
18,127.3
19,125.1
20,128.1
21,129.7
22,129.3
23,126.5
24,127.6
25,126.5
26,127.8
27,131.9
28,134.1
29,135.2
30,137.6
31,139.5
32,140.8
33,139.3
34,142.7
35,145.9
36,147.3
37,149.2
38,153.4
39,156.1
40,157.2
41,162.8
42,170.4
43,179.3
44,181.1
45,183.1
46,191.6
47,194.7
48,196.9
49,201.1
50,203.7
51,207
52,208.1
53,211.1
54,214.6
55,220
56,221.1
57,223
58,229.6
59,236
60,240.8
61,245.9
62,244.8
63,248.1
64,250.3
65,252.4
66,254.6
67,257.1
68,259.5
